Date,Open,High,Low,Close,Adj Close,Volume
02-07-02,5.523439,5.537041,5.421423,5.443769,4.00964,61044
03-07-02,5.50595,5.545785,5.328151,5.466116,4.026099,34160
04-07-02,5.501093,5.572018,5.417537,5.528297,4.071899,27892
05-07-02,5.563274,5.656546,5.47486,5.590478,4.1177,58976
08-07-02,5.501093,5.718727,5.501093,5.625455,4.143462,48909
09-07-02,5.590478,5.758562,5.568132,5.616711,4.137022,321846
10-07-02,5.488462,5.488462,5.146465,5.222249,3.846478,138434
11-07-02,4.978382,5.213504,4.978382,5.1863,3.82,15027
12-07-02,5.501093,5.501093,5.244595,5.319407,3.91804,24187
15-07-02,5.324265,5.479718,5.191158,5.333009,3.928059,50330
16-07-02,5.199902,5.438911,5.199902,5.315521,3.915179,24928
17-07-02,4.702453,5.137721,4.618897,5.044449,3.715519,21356
18-07-02,4.880252,5.146465,4.835559,5.080398,3.741997,27532
19-07-02,5.026961,5.203789,5.022103,5.151323,3.794237,13380
22-07-02,5.080398,5.146465,4.968666,4.973524,3.663279,21665
23-07-02,4.818071,5.084284,4.818071,5.061938,3.7284,40161
24-07-02,5.058051,5.128977,4.937575,5.061938,3.7284,34479
25-07-02,5.058051,5.058051,4.791838,4.849162,3.571679,38185
26-07-02,5.146465,5.146465,4.729657,4.871508,3.588138,51760
29-07-02,4.223463,4.250667,3.903813,4.250667,3.130853,17188
30-07-02,4.170026,4.325479,4.03692,4.2769,3.150176,66561
31-07-02,4.179742,4.303133,4.148651,4.210833,3.101514,5557
01-08-02,4.250667,4.516881,4.250667,4.458586,3.283998,31134
02-08-02,4.06801,4.610153,4.06801,4.498421,3.313338,28211
05-08-02,4.59655,4.791838,4.525625,4.791838,3.529456,18835
06-08-02,4.627641,4.681078,4.627641,4.649987,3.424976,6690
07-08-02,4.800582,4.854019,4.658732,4.752003,3.500116,24825
08-08-02,4.791838,4.791838,4.614039,4.649987,3.424976,16581
09-08-02,4.658732,4.702453,4.574204,4.702453,3.463619,32421
12-08-02,4.614039,4.791838,4.614039,4.614039,3.398498,10807
13-08-02,4.610153,4.702453,4.525625,4.574204,3.369157,11321
14-08-02,4.569346,4.641243,4.525625,4.538256,3.342679,11908
15-08-02,4.538256,4.538256,4.538256,4.538256,3.342679,0
16-08-02,4.614039,4.693709,4.569346,4.645129,3.421398,7986
19-08-02,4.525625,4.720913,4.516881,4.543113,3.346257,15449
20-08-02,4.529511,4.529511,4.383774,4.427495,3.261097,17239
21-08-02,4.525625,4.614039,4.436239,4.441097,3.271116,27326
22-08-02,4.441097,4.441097,4.347826,4.436239,3.267538,6175
23-08-02,4.458586,4.480932,4.458586,4.480932,3.300457,20842
26-08-02,4.436239,4.436239,4.179742,4.436239,3.267538,5043
27-08-02,4.480932,4.512023,4.436239,4.436239,3.267538,10817
28-08-02,4.370172,4.560602,4.370172,4.410007,3.248216,3087
29-08-02,4.401263,4.458586,4.347826,4.347826,3.202417,4888
30-08-02,4.396405,4.574204,4.392518,4.525625,3.333376,13894
02-09-02,4.370172,4.370172,4.347826,4.347826,3.202417,6947
03-09-02,4.392518,4.396405,4.370172,4.370172,3.218876,9263
04-09-02,4.392518,4.436239,4.383774,4.436239,3.267538,20173
05-09-02,4.436239,4.472188,4.436239,4.46733,3.290438,1893
06-09-02,4.347826,4.525625,4.347826,4.436239,3.267538,11836
09-09-02,4.35657,4.414865,4.352683,4.401263,3.241777,4117
10-09-02,4.401263,4.401263,4.401263,4.401263,3.241777,0
11-09-02,4.396405,4.432353,4.347826,4.37503,3.222454,6432
12-09-02,4.508136,4.508136,4.392518,4.445955,3.274694,3602
13-09-02,4.436239,4.436239,4.392518,4.436239,3.267538,5866
